"id","score"
"25073877","13078"
"1095144089815781376","8669"
"267283006","7209"
"216299334","6790"
"872683897","3946"
"1917731","2701"
"165038043","2675"
"279788564","2559"
"99620272","2511"
"19725644","2168"
"14884472","1877"
"77596200","1469"
"221412285","1346"
"236899774","1257"
"18337740","1148"
"939091","1030"
"39538010","979"
"139823781","931"
"2315698776","916"
"249235406","840"
"17193794","790"
"358996059","674"
"344143552","652"
"59325073","647"
"1900027512","609"
"3332185384","574"
"1962532496","569"
"312061934","527"
"67543581","527"
"216776631","522"
"15846407","508"
"33750798","505"
"815533384541831168","496"
"14053627","494"
"1117857733","470"
"14446934","465"
"812135885328236551","461"
"770781940341288960","442"
"807095","423"
"1007369775427645440","419"
"160926944","417"
"15821836","411"
"403614288","410"
"43139414","398"
"250160119","397"
"2670726740","396"
"40059553","392"
"44196397","382"
"754006735468261376","381"
"227324947","376"
"14173315","369"
"62513246","365"
"726265475529871360","364"
"20015311","363"
"934281246435405824","358"
"38142665","357"
"453473029","352"
"1187330941","341"
"497665754","333"
"21157904","330"
"2633624624","329"
"17891808","328"
"208725869","320"
"398306220","306"
"1058639423909388288","305"
"42038472","301"
"13615722","300"
"1339835893","296"
"22194330","296"
"944864788336824321","290"
"17191272","284"
"459872442","280"
"2884771","275"
"388934098","273"
"759251","269"
"3385125854","262"
"127941629","258"
"2260704146","255"
"783214","255"
"41634520","254"
"18643437","253"
"18144089","250"
"82455213","244"
"214201922","242"
"260788584","238"
"57441414","238"
"1158095849823637506","238"
"56562803","236"
"35039490","231"
"18648536","231"
"12670512","230"
"2455740283","230"
"9989862","223"
"19739126","222"
"53064246","219"
"2349536690","217"
"1067055936592695296","208"
"4187275698","205"
"2467791","205"
"143169070","200"
"117777690","193"
"313038011","189"
"748453510048518145","189"
"48485771","184"
"146556805","184"
"16887175","183"
"10671602","181"
"216618670","180"
"605750552","177"
"1082968039145046016","176"
"286773713","175"
"767960339547774976","174"
"15416505","174"
"43633246","172"
"8496762","172"
"177403095","171"
"16725276","169"
"2874102076","169"
"31447081","169"
"10228272","167"
"1249982359","166"
"22940219","165"
"28420827","165"
"878247600096509952","164"
"2233154425","162"
"19637934","159"
"3911239745","158"
"1116572973798834176","158"
"17243213","156"
"17469289","156"
"207784631","155"
"14293310","155"
"701725963","155"
"419392072","155"
"5845492","154"
"998234109007749120","152"
"122556667","152"
"33274340","149"
"19670226","145"
"357606935","141"
"581301629","138"
"118279172","137"
"1019230037839634432","134"
"937012429057413122","133"
"732817452569141248","133"
"71061262","133"
"14230524","132"
"3131144855","132"
"1074343535950860288","130"
"432895323","129"
"881796060796129282","128"
"365956744","128"
"4017904349","126"
"1005173450095222784","126"
"216456359","125"
"512728218","124"
"818313150","123"
"2355984187","119"
"182147857","118"
"121489431","118"
"211675022","118"
"266687361","115"
"4140881832","115"
"1185723240532119552","115"
"21439144","115"
"1117595956353163265","114"
"32117870","113"
"2791790516","113"
"164425558","113"
"1512359274","113"
"963480595","112"
"325086171","112"
"246596682","112"
"343618377","111"
"410264375","110"
"558831245","110"
"27493883","109"
"118756393","109"
"3670247117","109"
"715753168118874112","108"
"930552552302792705","108"
"2417586104","108"
"1500129642","107"
"16581604","106"
"1161549343616327682","105"
"56518880","105"
"19091173","105"
"845137912740012033","104"
"15115280","104"
"2244953047","103"
"17525171","103"
"7025662","103"
"83445431","101"
"16630362","101"
"237845487","101"
"18953259","100"
"17980523","100"
"20402945","99"
"2412008239","99"
"21632108","98"
"2800581040","98"
"15012486","98"
"424893128","98"
"1117931702","97"
"2742226630","97"
"14607172","96"
"832978972602429440","96"
"19370504","95"
"15227791","95"
"17364412","94"
"64798737","94"
"291774022","93"
"373024213","93"
"15494380","93"
"44473996","93"
"1028016705895899137","91"
"7996082","91"
"365815687","90"
"410409666","89"
"12480582","89"
"822215673812119553","89"
"1009514640844308481","88"
"41317178","87"
"133663801","87"
"131868148","87"
"24272129","87"
"3108351","87"
"18927441","87"
"2809959174","86"
"18950712","86"
"15234546","86"
"161418822","85"
"238325190","85"
"48708939","85"
"138168339","85"
"78683448","85"
"23970102","85"
"3033098871","84"
"3160260601","84"
"17962204","84"
"897204704060616705","84"
"995979576","83"
"36711022","82"
"20536157","82"
"580097412","81"
"17128975","81"
"26548315","80"
"50055701","80"
"360185259","80"
"16973333","79"
"23359769","78"
"1088594972272721920","78"
"58023319","78"
"17995040","78"
"911429360","77"
"372372537","77"
"4070070508","76"
"10973142","75"
"64526215","75"
"897505907914846209","74"
"68440549","74"
"16302242","74"
"43585581","74"
"1013911723466788865","74"
"9890492","74"
"4893839920","74"
"2986471820","74"
"14931637","73"
"2225910829","73"
"204832963","73"
"749053787676020737","73"
"15335468","72"
"44215023","72"
"15448383","72"
"1693633363","72"
"1072323320614400000","71"
"240107748","71"
"120479017","71"
"16017475","71"
"988573326376427520","70"
"19028805","70"
"350411337","70"
"472122299","70"
"468646961","70"
"1022633695738511360","69"
"859297966581891072","69"
"748259155849416706","68"
"873156920","68"
"87818409","68"
"125993839","68"
"1209417007","68"
"200098418","68"
"36528126","68"
"1107392403336503296","68"
"1652541","68"
"2214652482","68"
"266135518","68"
"604988212","68"
"234966034","67"
"17006157","67"
"39364684","67"
"423967218","67"
"759081003168112640","67"
"292929271","67"
"989983009339269120","67"
"361084191","67"
"969797150484893696","66"
"16672159","66"
"67278158","66"
"604940737","66"
"2743636812","66"
"182660554","66"
"34713362","66"
"19697415","65"
"3065618342","65"
"431947388","65"
"1168680523960606720","65"
"218975278","64"
"91882544","64"
"1047210835750375424","64"
"1173010129190625280","64"
"170018350","63"
"4429709805","63"
"545063744","63"
"972651","63"
"986781648","63"
"988410630406397952","62"
"40444923","62"
"3256068152","62"
"1030211880776859648","62"
"743530710355611648","62"
"425871040","62"
"21447363","61"
"19040580","61"
"2181493660","61"
"2557521","61"
"2804426412","61"
"404621700","61"
"167042901","60"
"191638249","60"
"1186704246533771269","60"
"41194235","60"
"1064318959904800768","60"
"2421655872","60"
"39344374","60"
"790136510","59"
"246500501","59"
"1106287047117922305","59"
"216881337","58"
"2410068528","58"
"226222147","58"
"2426807064","57"
"160286232","57"
"21621886","57"
"123276343","57"
"3055982918","57"
"635833515","57"
"14423451","57"
"2274049891","57"
"945473418","57"
"395477244","57"
"813286","57"
"1640929196","57"
"362655140","56"
"2717961126","56"
"1179362646275117056","56"
"27711685","56"
"17494010","55"
"15872418","55"
"96877126","55"
"331376866","55"
"1654765284","55"
"1126146246534737921","55"
"90651198","55"
"1234227716","55"
"759823321","55"
"18839785","54"
"404618190","54"
"2800268383","54"
"2155672946","54"
"24277551","54"
"71629213","54"
"981259709356404737","54"
"29458079","54"
"14345812","53"
"2593708296","53"
"1633881493","53"
"31159552","53"
"15764644","53"
"68712576","53"
"26270880","53"
"1034360625852567552","53"
"3427312061","52"
"14128609","52"
"79743108","52"
"2228878592","52"
"978696649076826113","52"
"1335440210","52"
"1096955179","52"
"1041468381403250689","52"
"281201274","52"
"116502194","51"
"897942726","51"
"68752979","51"
"4473892217","51"
"3343852672","51"
"180463340","51"
"4880060739","51"
"23217881","51"
"6351572","51"
"105297123","51"
"426028646","51"
"127605100","51"
"16365707","50"
"3018165370","50"
"18919110","50"
"2201623465","50"
"20518298","50"
"89272855","50"
"80549263","50"
"18379614","49"
"1147039789","49"
"25577860","49"
"2450266270","49"
"34867057","49"
"510464011","49"
"1132621122560778240","49"
"283316732","49"
"427930773","49"
"1178790644803948544","49"
"226782998","49"
"865777701671415808","48"
"25878827","48"
"22637974","48"
"626593148","48"
"17919393","48"
"119758732","48"
"890891","48"
"624413","48"
"484906461","48"
"24744541","48"
"3195766676","47"
"1501434991","47"
"16679529","47"
"186276971","47"
"27280073","47"
"1108472017144201216","47"
"1174053626987372544","47"
"403246803","47"
"1199408861817581571","47"
"15075999","47"
"330826792","47"
"738080573365702657","47"
"27938325","47"
"4664264112","47"
"46395264","47"
"1072602784212627456","47"
"313381067","47"
"2313733368","46"
"1078181759374700544","46"
"224221596","46"
"1085301763710861314","46"
"27085849","45"
"535707261","45"
"818876014390603776","45"
"32765534","45"
"61830970","45"
"129842597","44"
"2355808260","44"
"408046564","44"
"16365839","44"
"1063200239379759105","44"
"2181539383","44"
"69183155","44"
"807975026","44"
"552523769","44"
"67943213","44"
"372181722","44"
"25982919","44"
"63296944","44"
"1852899224","44"
"1523823530","43"
"3139477784","43"
"157404816","43"
"68676047","43"
"2195220043","43"
"1059542139737128960","43"
"820705814906339328","43"
"16686144","43"
"2539121931","43"
"564768792","43"
"18014620","43"
"2955315479","43"
"1042189121723219968","43"
"9624742","43"
"899124567247003650","42"
"1057366758393372672","42"
"45645232","42"
"1049461995924312066","42"
"59980041","42"
"634776678","42"
"2259675206","42"
"39821852","42"
"382815761","42"
"119836183","42"
"57885560","42"
"2893223998","42"
"1040361509396905987","42"
"239005322","42"
"14281853","42"
"1025996821129117696","41"
"128372940","41"
"70802219","41"
"154280902","41"
"846923375209594880","41"
"185192570","41"
"2978762543","41"
"155620461","41"
"8197942","41"
"105119490","40"
"1038343446325612544","40"
"462547669","40"
"875793663976255488","40"
"945418498947371008","40"
"1109884196993069056","40"
"25029495","40"
"95023423","40"
"2427471551","40"
"1048886589500416000","40"
"312102273","40"
"847038714735968256","39"
"1016008321","39"
"2559865245","39"
"11582012","39"
"1181293484520685568","39"
"1733467884","39"
"1169025294642102274","39"
"74756085","39"
"2850532049","39"
"15938350","39"
"138203134","39"
"1116819218261999622","39"
"2944746759","38"
"716967190793039872","38"
"45564482","38"
"16343974","38"
"427579651","38"
"243771480","38"
"3135824991","38"
"128487133","38"
"1006419421244678144","38"
"42782290","38"
"1189557121278496768","38"
"240097643","38"
"284089166","38"
"718704659762966528","38"
"19424427","38"
"2418518094","38"
"84319973","38"
"759711102","38"
"33805522","38"
"149103331","38"
"4767225325","37"
"917877112173981696","37"
"16106584","37"
"27000730","37"
"88001676","37"
"542056041","37"
"887464646","37"
"17874544","37"
"270839361","37"
"2259809232","37"
"3285392219","37"
"1248281438","37"
"184530310","37"
"975843959586086918","37"
"540628749","37"
"85362553","37"
"18166778","37"
"1959582103","37"
"65497475","37"
"379408088","37"
"1651594488","36"
"2474565805","36"
"2537753422","36"
"1075553142","36"
"1957798104","36"
"1163506740131815424","36"
"910492003359760384","36"
"25808897","36"
"418147815","36"
"139162440","36"
"393264968","36"
"15212187","35"
"24742040","35"
"851065323176554496","35"
"2960062013","35"
"16787344","35"
"1025050920","35"
"1645409810","35"
"53039176","35"
"773959187944669184","35"
"158314798","35"
"735164116814286848","35"
"786550445279809536","35"
"1161107388289748998","35"
"16825477","35"
"21550243","35"
"718167032","35"
"3965150331","35"
